2025-05-26 13:56:03.318 [http-nio-8080-exec-8] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [3] in public com.carsharing.carsharing.model.Booking com.carsharing.carsharing.controller.BookingController.updateBooking(java.lang.Long,java.lang.Long,java.util.List<java.lang.Long>,com.carsharing.carsharing.model.Booking) with 2 errors: [Field error in object 'booking' on field 'startDateString': rejected value [null]; codes [NotBlank.booking.startDateString,NotBlank.startDateString,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [booking.startDateString,startDateString]; arguments []; default message [startDateString]]; default message [Дата начала обязательна]] [Field error in object 'booking' on field 'endDateString': rejected value [null]; codes [NotBlank.booking.endDateString,NotBlank.endDateString,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [booking.endDateString,endDateString]; arguments []; default message [endDateString]]; default message [Дата окончания обязательна]] ]
2025-05-26 13:56:04.916 [http-nio-8080-exec-9] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [3] in public com.carsharing.carsharing.model.Booking com.carsharing.carsharing.controller.BookingController.updateBooking(java.lang.Long,java.lang.Long,java.util.List<java.lang.Long>,com.carsharing.carsharing.model.Booking) with 2 errors: [Field error in object 'booking' on field 'startDateString': rejected value [null]; codes [NotBlank.booking.startDateString,NotBlank.startDateString,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [booking.startDateString,startDateString]; arguments []; default message [startDateString]]; default message [Дата начала обязательна]] [Field error in object 'booking' on field 'endDateString': rejected value [null]; codes [NotBlank.booking.endDateString,NotBlank.endDateString,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [booking.endDateString,endDateString]; arguments []; default message [endDateString]]; default message [Дата окончания обязательна]] ]
2025-05-26 13:59:12.066 [http-nio-8080-exec-1] INFO  c.c.carsharing.cache.LruCache - Cache miss: Item with key 5 not found in cache
2025-05-26 13:59:12.073 [http-nio-8080-exec-1] INFO  c.c.carsharing.cache.LruCache - Cache add: Added item with key 5 to cache 
2025-05-26 13:59:27.495 [http-nio-8080-exec-4] INFO  c.c.carsharing.cache.LruCache - Cache hit: Retrieved item with key 5 from cache (frequency: 2)
2025-05-26 13:59:27.500 [http-nio-8080-exec-4] INFO  c.c.carsharing.cache.LruCache - Cache update: Updated item with key 5 in cache (frequency: 3)
2025-05-26 13:59:57.676 [http-nio-8080-exec-5] INFO  c.c.carsharing.cache.LruCache - Cache hit: Retrieved item with key 5 from cache (frequency: 4)
2025-05-26 13:59:57.683 [http-nio-8080-exec-5] INFO  c.c.carsharing.cache.LruCache - Cache update: Updated item with key 5 in cache (frequency: 5)
2025-05-26 14:00:14.807 [http-nio-8080-exec-10] INFO  c.c.carsharing.cache.LruCache - Cache hit: Retrieved item with key 5 from cache (frequency: 6)
2025-05-26 14:00:14.814 [http-nio-8080-exec-10] INFO  c.c.carsharing.cache.LruCache - Cache update: Updated item with key 5 in cache (frequency: 7)
2025-05-26 14:07:45.722 [http-nio-8080-exec-1] INFO  c.c.carsharing.cache.LruCache - Cache miss: Item with key 3 not found in cache
2025-05-26 14:07:45.726 [http-nio-8080-exec-1] INFO  c.c.carsharing.cache.LruCache - Cache add: Added item with key 3 to cache 
2025-05-26 17:30:32.895 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=3h22m41s216ms187µs800ns).
2025-05-26 17:43:51.977 [http-nio-8080-exec-2] INFO  c.c.carsharing.cache.LruCache - Cache miss: Item with key 13 not found in cache
2025-05-26 17:43:51.980 [http-nio-8080-exec-2] INFO  c.c.carsharing.cache.LruCache - Cache add: Added item with key 13 to cache 
2025-05-26 18:21:34.643 [http-nio-8080-exec-8] INFO  c.c.carsharing.cache.LruCache - Cache remove: Removed item with key 7 from cache
2025-05-26 18:56:10.491 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=34m40s922ms497µs600ns).
2025-05-26 19:00:15.021 [http-nio-8080-exec-10] INFO  c.c.carsharing.cache.LruCache - Cache remove: Removed item with key 5 from cache
2025-05-26 19:00:18.069 [http-nio-8080-exec-7] INFO  c.c.carsharing.cache.LruCache - Cache remove: Removed item with key 3 from cache
2025-05-26 19:00:20.801 [http-nio-8080-exec-1] INFO  c.c.carsharing.cache.LruCache - Cache remove: Removed item with key 6 from cache
2025-05-26 19:00:23.796 [http-nio-8080-exec-2] INFO  c.c.carsharing.cache.LruCache - Cache remove: Removed item with key 8 from cache
2025-05-26 19:00:35.371 [http-nio-8080-exec-10] INFO  c.c.carsharing.cache.LruCache - Cache add: Added item with key 9 to cache 
2025-05-26 19:00:52.820 [http-nio-8080-exec-1] INFO  c.c.carsharing.cache.LruCache - Cache hit: Retrieved item with key 9 from cache (frequency: 2)
2025-05-26 19:00:52.824 [http-nio-8080-exec-1] INFO  c.c.carsharing.cache.LruCache - Cache update: Updated item with key 9 in cache (frequency: 3)
2025-05-26 19:05:42.723 [http-nio-8080-exec-7] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [java.lang.IllegalArgumentException: Машина с ID 1 уже забронирована на указанные даты]
2025-05-26 19:05:59.290 [http-nio-8080-exec-10] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [java.lang.IllegalArgumentException: Машина с ID 1 уже забронирована на указанные даты]
2025-05-26 19:06:15.804 [http-nio-8080-exec-3] INFO  c.c.carsharing.cache.LruCache - Cache hit: Retrieved item with key 9 from cache (frequency: 4)
2025-05-26 19:06:15.809 [http-nio-8080-exec-3] INFO  c.c.carsharing.cache.LruCache - Cache update: Updated item with key 9 in cache (frequency: 5)
2025-05-26 19:10:11.259 [http-nio-8080-exec-2] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [2] in public com.carsharing.carsharing.model.Booking com.carsharing.carsharing.controller.BookingController.createBooking(java.lang.Long,java.util.List<java.lang.Long>,com.carsharing.carsharing.model.Booking) with 2 errors: [Field error in object 'booking' on field 'startDateString': rejected value [null]; codes [NotBlank.booking.startDateString,NotBlank.startDateString,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [booking.startDateString,startDateString]; arguments []; default message [startDateString]]; default message [Дата начала обязательна]] [Field error in object 'booking' on field 'endDateString': rejected value [null]; codes [NotBlank.booking.endDateString,NotBlank.endDateString,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [booking.endDateString,endDateString]; arguments []; default message [endDateString]]; default message [Дата окончания обязательна]] ]
2025-05-26 19:10:32.104 [http-nio-8080-exec-9] WARN  o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver - Resolved [org.springframework.web.bind.MethodArgumentNotValidException: Validation failed for argument [2] in public com.carsharing.carsharing.model.Booking com.carsharing.carsharing.controller.BookingController.createBooking(java.lang.Long,java.util.List<java.lang.Long>,com.carsharing.carsharing.model.Booking) with 2 errors: [Field error in object 'booking' on field 'startDateString': rejected value [null]; codes [NotBlank.booking.startDateString,NotBlank.startDateString,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [booking.startDateString,startDateString]; arguments []; default message [startDateString]]; default message [Дата начала обязательна]] [Field error in object 'booking' on field 'endDateString': rejected value [null]; codes [NotBlank.booking.endDateString,NotBlank.endDateString,NotBlank.java.lang.String,NotBlank]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [booking.endDateString,endDateString]; arguments []; default message [endDateString]]; default message [Дата окончания обязательна]] ]
